words,match_id,team_name,outcome
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block-Ball Recovery-Carry-Dribble,3955632,AFC Bournemouth,Drawn
50/50,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Goal Keeper,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Duel,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Pass,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Dribbled Past-Pressure,3955632,AFC Bournemouth,Drawn
Interception-Block,3955632,AFC Bournemouth,Drawn
Goal Keeper,3955632,AFC Bournemouth,Drawn
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure-Foul Committed,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Clearance-Clearance,3955632,AFC Bournemouth,Drawn
Tactical Shift-Pass-Ball Receipt-Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Miscontrol,3955632,AFC Bournemouth,Drawn
Pressure-Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure-Foul Committed,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Carry-Dispossessed,3955632,AFC Bournemouth,Drawn
50/50,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure-Foul Committed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
