words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance-Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Shot,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Shot-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Shield-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Dribble-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
50/50,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Interception-Ball Recovery-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Dispossessed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance-Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Miscontrol-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Dispossessed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure-Foul Committed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Injury Stoppage,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Dispossessed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Committed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Committed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Injury Stoppage,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Miscontrol,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
50/50-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Error-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Goal Keeper-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Miscontrol-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Dispossessed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Dribble-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won-Dribble-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Shot,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Interception,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Shot,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Own Goal For,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Foul Won-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Duel,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Dribbled Past-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
