words,match_id,team_name,outcome,goals_scored,goals_conceded
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dispossessed,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Shot,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Foul Committed,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Interception,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Clearance-Ball Recovery,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Dribble-Carry,3955878,AFC Bournemouth,Won,3,1
Miscontrol-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past-Pressure,3955878,AFC Bournemouth,Won,3,1
Interception-Ball Recovery,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dribble,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Injury Stoppage,3955878,AFC Bournemouth,Won,3,1
Referee Ball-Drop,3955878,AFC Bournemouth,Won,3,1
Duel-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Miscontrol,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
