words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Dribbled Past-Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Block,3955815,AFC Bournemouth,Drawn,2,2,First half
Block-Pass-Ball Receipt-Carry-Miscontrol,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure-Foul Committed,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Miscontrol-Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Block,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Dribble-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure-Pressure-Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Dribbled Past-Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Interception-Carry-Dribble,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt,3955815,AFC Bournemouth,Drawn,2,2,First half
Shot,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Block,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry-Dribble-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Interception-Carry-Dribble-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Block,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Interception-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Shot-Ball Receipt,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt,3955815,AFC Bournemouth,Drawn,2,2,First half
Block-Ball Recovery-Shot,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Clearance,3955815,AFC Bournemouth,Drawn,2,2,First half
Block,3955815,AFC Bournemouth,Drawn,2,2,First half
Goal Keeper-Carry-Pass-Duel,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Duel-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry-Shot,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Clearance,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure-Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Duel,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Clearance,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Dribbled Past,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Interception,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Goal Keeper-Pass-Ball Receipt,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955815,AFC Bournemouth,Drawn,2,2,First half
Pressure,3955815,AFC Bournemouth,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955815,AFC Bournemouth,Drawn,2,2,First half
