words,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Ball Recovery-Carry-Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Dribbled Past-Pressure,3955661,AFC Bournemouth
Duel,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt-Duel,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Shot,3955661,AFC Bournemouth
Pass,3955661,AFC Bournemouth
Ball Receipt-Duel,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Dispossessed,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pass,3955661,AFC Bournemouth
Ball Receipt-Carry-Error-Pass-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Block-Goal Keeper,3955661,AFC Bournemouth
Clearance,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pass-Ball Receipt-Miscontrol-Pressure,3955661,AFC Bournemouth
Interception-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass,3955661,AFC Bournemouth
Shot-Ball Receipt,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure-Pressure,3955661,AFC Bournemouth
Block,3955661,AFC Bournemouth
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955661,AFC Bournemouth
Pressure-Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Duel-Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955661,AFC Bournemouth
Ball Recovery-Carry,3955661,AFC Bournemouth
Dispossessed,3955661,AFC Bournemouth
Clearance,3955661,AFC Bournemouth
Clearance,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Miscontrol,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Ball Recovery-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Pass-Ball Receipt-Duel,3955661,AFC Bournemouth
Pass-Pass-Ball Receipt,3955661,AFC Bournemouth
Ball Receipt-Carry-Pass-Ball Receipt,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955661,AFC Bournemouth
Shot,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Clearance,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Interception-Pressure,3955661,AFC Bournemouth
Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure-Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Duel-Carry,3955661,AFC Bournemouth
Pass,3955661,AFC Bournemouth
Ball Receipt-Carry-Miscontrol,3955661,AFC Bournemouth
50/50,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure-Foul Committed,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Pressure,3955661,AFC Bournemouth
Dribbled Past-Clearance,3955661,AFC Bournemouth
