words,match_id,team_name,outcome,goals_scored,goals_conceded
Clearance,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945135,AC Milan,Drawn,1,1
Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Dispossessed,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pressure-Foul Committed,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Interception,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Goal Keeper,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Duel,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,3945135,AC Milan,Drawn,1,1
Foul Won-Pass-Ball Receipt-Shot,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Block-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pressure-Foul Committed,3945135,AC Milan,Drawn,1,1
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Ball Recovery,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Duel-Carry,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945135,AC Milan,Drawn,1,1
Dispossessed,3945135,AC Milan,Drawn,1,1
Pressure-Foul Committed,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure-Pressure,3945135,AC Milan,Drawn,1,1
Block,3945135,AC Milan,Drawn,1,1
Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pressure-Foul Committed,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure-Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure-Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Duel-Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pass-Ball Receipt-Carry,3945135,AC Milan,Drawn,1,1
Foul Won-Pass-Ball Receipt,3945135,AC Milan,Drawn,1,1
Shot,3945135,AC Milan,Drawn,1,1
Block-Block-Ball Recovery,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Block-Pass-Ball Receipt-Pass,3945135,AC Milan,Drawn,1,1
Ball Receipt-Carry-Dispossessed,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
Pressure,3945135,AC Milan,Drawn,1,1
