words,match_id,team_name
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Ball Recovery-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Miscontrol-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Block-Ball Recovery-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Ball Recovery-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Block-Foul Committed,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Foul Committed,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Injury Stoppage,3945013,AC Milan
Player Off,3945013,AC Milan
Player On,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Clearance-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Interception-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Interception,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Dispossessed,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Dispossessed,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Block,3945013,AC Milan
Duel,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Foul Won-Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Dispossessed,3945013,AC Milan
Pressure,3945013,AC Milan
Interception,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Foul Won-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pressure-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Foul Won-Pass-Ball Receipt,3945013,AC Milan
Shot,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Shot-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Shot,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Shot,3945013,AC Milan
Ball Recovery-Shot,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Carry-Shot,3945013,AC Milan
Ball Recovery-Shot,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Dribble,3945013,AC Milan
Block,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3945013,AC Milan
Duel,3945013,AC Milan
Pressure,3945013,AC Milan
Block,3945013,AC Milan
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Block,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Miscontrol-Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure-Pressure-Foul Committed,3945013,AC Milan
Pressure,3945013,AC Milan
Block,3945013,AC Milan
Duel,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Dribbled Past,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Dribbled Past-Pressure,3945013,AC Milan
Duel-Ball Recovery-Carry-Pass-Ball Receipt,3945013,AC Milan
Foul Committed,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Carry-Dribble-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry-Dispossessed,3945013,AC Milan
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble,3945013,AC Milan
Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Block,3945013,AC Milan
Injury Stoppage-Substitution-Pass-Ball Receipt-Pass,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Miscontrol-Ball Recovery-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Shot,3945013,AC Milan
Pressure,3945013,AC Milan
Pass,3945013,AC Milan
Pressure-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
