words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Christian Pulisic-Malick Thiaw-Malick Thiaw-Malick Thiaw-Mike Maignan-Mike Maignan-Mike Maignan-Malick Thiaw-Malick Thiaw-Malick Thiaw-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt,Samuel Chimerenka Chukwueze-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Pressure,Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Pressure,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pressure,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pressure,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mike Maignan-Mike Maignan-Mike Maignan-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Tijjani Reijnders-Tijjani Reijnders-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Dribble,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pressure,Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Pressure,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pressure,Noah Okafor,3945064,AC Milan,Won,1,0,First half
Duel,Malick Thiaw,3945064,AC Milan,Won,1,0,First half
Block,Malick Thiaw,3945064,AC Milan,Won,1,0,First half
Pressure,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pressure,Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
