words,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Emerson Aparecido Leite de Souza Junior-Christian Pulisic-Christian Pulisic-Christian Pulisic-Emerson Aparecido Leite de Souza Junior-Emerson Aparecido Leite de Souza Junior-Samuel Chimerenka Chukwueze,3945070,AC Milan
Block,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Pressure,Strahinja Pavlović,3945070,AC Milan
Goal Keeper,Mike Maignan,3945070,AC Milan
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mike Maignan-Francesco Camarda-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Mike Maignan-Mike Maignan-Mike Maignan-Youssouf Fofana-Youssouf Fofana,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Youssouf Fofana-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Christian Pulisic-Christian Pulisic-Christian Pulisic-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Pass-Ball Receipt-Carry,Christian Pulisic-Emerson Aparecido Leite de Souza Junior-Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Pass,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Block,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Ball Recovery-Carry,Emerson Aparecido Leite de Souza Junior-Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Dispossessed,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Interception-Ball Recovery-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Strahinja Pavlović-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Dispossessed,Christian Pulisic,3945070,AC Milan
Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Christian Pulisic-Tijjani Reijnders-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão,3945070,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Miscontrol,Samuel Chimerenka Chukwueze,3945070,AC Milan
Pressure,Christian Pulisic,3945070,AC Milan
Pressure,Christian Pulisic,3945070,AC Milan
Pressure,Malick Thiaw,3945070,AC Milan
Pressure-Foul Committed,Emerson Aparecido Leite de Souza Junior-Malick Thiaw,3945070,AC Milan
Injury Stoppage-Player Off,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Pressure,Theo Bernard François Hernández,3945070,AC Milan
Clearance,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Pressure,Emerson Aparecido Leite de Souza Junior,3945070,AC Milan
Clearance,Malick Thiaw,3945070,AC Milan
Pressure,Francesco Camarda,3945070,AC Milan
Dribbled Past,Francesco Camarda,3945070,AC Milan
Clearance,Malick Thiaw,3945070,AC Milan
Goal Keeper-Player On-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mike Maignan-Samuel Chimerenka Chukwueze-Strahinja Pavlović-Mike Maignan-Mike Maignan-Mike Maignan-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Rafael Alexandre Conceição Leão,3945070,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Shot,Christian Pulisic,3945070,AC Milan
Pass,Theo Bernard François Hernández,3945070,AC Milan
Pressure,Rafael Alexandre Conceição Leão,3945070,AC Milan
Duel,Malick Thiaw,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mike Maignan-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Emerson Aparecido Leite de Souza Junior-Emerson Aparecido Leite de Souza Junior-Emerson Aparecido Leite de Souza Junior-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Ball Receipt-Carry-Miscontrol-Pressure,Francesco Camarda-Francesco Camarda-Francesco Camarda-Francesco Camarda,3945070,AC Milan
Duel-Ball Recovery-Carry,Francesco Camarda-Christian Pulisic-Christian Pulisic,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Christian Pulisic-Francesco Camarda-Francesco Camarda-Francesco Camarda-Christian Pulisic,3945070,AC Milan
Pass-Ball Receipt-Carry,Francesco Camarda-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Dribble-Carry,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Pass,Samuel Chimerenka Chukwueze,3945070,AC Milan
Ball Receipt-Carry,Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão,3945070,AC Milan
Shot,Rafael Alexandre Conceição Leão,3945070,AC Milan
Duel,Malick Thiaw,3945070,AC Milan
Pressure,Samuel Chimerenka Chukwueze,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Francesco Camarda-Francesco Camarda-Francesco Camarda-Youssouf Fofana-Youssouf Fofana,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945070,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Samuel Chimerenka Chukwueze-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Rafael Alexandre Conceição Leão,3945070,AC Milan
Pressure,Strahinja Pavlović,3945070,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Mike Maignan-Mike Maignan-Mike Maignan-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão-Rafael Alexandre Conceição Leão-Francesco Camarda,3945070,AC Milan
Pressure,Francesco Camarda,3945070,AC Milan
Pressure,Rafael Alexandre Conceição Leão,3945070,AC Milan
Pressure,Rafael Alexandre Conceição Leão,3945070,AC Milan
Pressure,Malick Thiaw,3945070,AC Milan
