words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Interception-Block,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Goal Keeper-Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Foul Committed,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
50/50,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Committed,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure-Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
50/50,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Miscontrol,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Dribble-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Dribble,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure-Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Foul Committed,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry-Dribble-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Foul Won-Player Off-Pass-Ball Receipt-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Interception,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Duel-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Player On-Pressure,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry-Pass-Ball Receipt,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
Dispossessed,3944974,Bologna,Lost,0,3,First half,0.718788387821376,0.8945692420594691
