words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribble-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Block-Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dispossessed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Interception,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Committed,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribble,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Interception,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Clearance,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribbled Past,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Duel,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry-Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Recovery-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pressure,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Dribbled Past,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945157,Venezia,Lost,0,1,Second half,1.3883563816607338,0.759966413239981
