words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Pressure-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Block-Goal Keeper,3946445,Athletic Club,Won,3,1,First half
Goal Keeper,3946445,Athletic Club,Won,3,1,First half
Clearance-Ball Recovery-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
50/50,3946445,Athletic Club,Won,3,1,First half
Block,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Goal Keeper-Pass-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Miscontrol,3946445,Athletic Club,Won,3,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Goal Keeper-Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Miscontrol,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Ball Recovery,3946445,Athletic Club,Won,3,1,First half
50/50-Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Dribble,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Block-Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Block-Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Dribble-Carry,3946445,Athletic Club,Won,3,1,First half
Dispossessed,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
50/50,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Goal Keeper-Clearance-Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure-Pressure,3946445,Athletic Club,Won,3,1,First half
Dribbled Past-Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Miscontrol-Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Duel,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Shot,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Dribbled Past-Pressure,3946445,Athletic Club,Won,3,1,First half
Duel-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946445,Athletic Club,Won,3,1,First half
Duel-Carry,3946445,Athletic Club,Won,3,1,First half
Miscontrol-Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Duel,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Dispossessed,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-50/50,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Block,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Duel,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Substitution-Tactical Shift,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Duel-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946445,Athletic Club,Won,3,1,First half
50/50-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Block,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
