words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure-Foul Committed,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt-Carry,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Ball Receipt-Pass,3946615,Athletic Club,Won,3,0
Foul Won-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,3946615,Athletic Club,Won,3,0
Interception,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Interception-Carry,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt,3946615,Athletic Club,Won,3,0
Block,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Ball Receipt-Pass,3946615,Athletic Club,Won,3,0
Pressure-Duel,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946615,Athletic Club,Won,3,0
Shot,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Interception-Ball Recovery-Carry-Pass,3946615,Athletic Club,Won,3,0
Ball Receipt-Carry,3946615,Athletic Club,Won,3,0
Pass-Ball Receipt,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Clearance,3946615,Athletic Club,Won,3,0
Pressure-Goal Keeper-Pass-Pass-Foul Committed,3946615,Athletic Club,Won,3,0
Ball Receipt,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Block-Pressure,3946615,Athletic Club,Won,3,0
Ball Recovery-Carry,3946615,Athletic Club,Won,3,0
Pass,3946615,Athletic Club,Won,3,0
Ball Receipt-Carry-Pass-Ball Receipt-Pass,3946615,Athletic Club,Won,3,0
Ball Receipt-Pass,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Pressure,3946615,Athletic Club,Won,3,0
Block-Ball Recovery-Carry,3946615,Athletic Club,Won,3,0
