words,match_id,team_name,outcome,goals_scored,goals_conceded
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
Ball Recovery,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass,3946406,Celta Vigo,Won,3,1
Ball Receipt-Pass,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Duel,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Interception,3946406,Celta Vigo,Won,3,1
Duel,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Goal Keeper,3946406,Celta Vigo,Won,3,1
Duel,3946406,Celta Vigo,Won,3,1
Clearance-Duel,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Goal Keeper,3946406,Celta Vigo,Won,3,1
Goal Keeper,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Interception,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Dribbled Past,3946406,Celta Vigo,Won,3,1
Goal Keeper-Ball Recovery-Carry,3946406,Celta Vigo,Won,3,1
Pass,3946406,Celta Vigo,Won,3,1
Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Miscontrol-Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
