words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Pass-Ball Receipt,3949510,Augsburg,Lost,2,3
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Pressure,3949510,Augsburg,Lost,2,3
Pressure,3949510,Augsburg,Lost,2,3
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Pressure,3949510,Augsburg,Lost,2,3
Ball Receipt,3949510,Augsburg,Lost,2,3
Interception-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Dribble,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Pressure,3949510,Augsburg,Lost,2,3
Block,3949510,Augsburg,Lost,2,3
Duel,3949510,Augsburg,Lost,2,3
Duel,3949510,Augsburg,Lost,2,3
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Pressure,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry-Miscontrol,3949510,Augsburg,Lost,2,3
50/50-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Pass-Ball Receipt,3949510,Augsburg,Lost,2,3
Ball Recovery-Pressure,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Pressure,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Shot,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Dribble-Carry,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949510,Augsburg,Lost,2,3
Pass,3949510,Augsburg,Lost,2,3
Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
Foul Won-Pass,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt,3949510,Augsburg,Lost,2,3
Pass-Ball Receipt-Carry,3949510,Augsburg,Lost,2,3
