words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Foul Committed,3949709,Augsburg,Won,1,0,Second half
Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Shield,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pressure-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Duel,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Shot,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Shot,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Dribbled Past-Pressure,3949709,Augsburg,Won,1,0,Second half
Duel-Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Miscontrol,3949709,Augsburg,Won,1,0,Second half
Pressure-Foul Committed,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Dribble,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Miscontrol,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure-Pressure,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Foul Committed,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass-Pressure-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block-Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
