words,word_players,match_id,team_name
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Arne Maier-Arne Maier-Arne Maier-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Arne Maier-Arne Maier,3949489,Augsburg
Pass-Ball Receipt-Carry,Arne Maier-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass,Nediljko Labrović,3949489,Augsburg
Pass,Arne Maier,3949489,Augsburg
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Samuel Emmanuel Essende Mbongu-Arne Maier-Keven Schlotterbeck-Keven Schlotterbeck-Tim Breithaupt-Tim Breithaupt-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt-Shot,Phillip Tietz-Arne Engels-Arne Engels,3949489,Augsburg
Ball Recovery-50/50,Tim Breithaupt-Tim Breithaupt,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Pressure,Mads Pedersen,3949489,Augsburg
Interception,Tim Breithaupt,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Goal Keeper-Pass-Ball Receipt-Pass,Nediljko Labrović-Samuel Emmanuel Essende Mbongu-Arne Engels-Arne Engels,3949489,Augsburg
Ball Receipt-Carry,Arne Maier-Arne Maier,3949489,Augsburg
Pass,Arne Maier,3949489,Augsburg
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Tim Breithaupt-Arne Engels-Arne Engels-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass,Mads Pedersen-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Keven Schlotterbeck-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pass,Elvis Rexhbeçaj,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mads Pedersen-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Phillip Tietz,3949489,Augsburg
Pass,Phillip Tietz,3949489,Augsburg
Pass,Elvis Rexhbeçaj,3949489,Augsburg
Pressure,Keven Schlotterbeck,3949489,Augsburg
Duel-Ball Recovery-Carry,Keven Schlotterbeck-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Dimitris Giannoulis-Arne Maier-Arne Maier-Arne Maier-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pressure-Pressure,Arne Maier-Tim Breithaupt,3949489,Augsburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Arne Engels-Arne Engels,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arne Engels-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Arne Engels-Arne Engels-Arne Engels,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,Tim Breithaupt-Phillip Tietz-Phillip Tietz-Phillip Tietz-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pressure,Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry,Elvis Rexhbeçaj-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Dispossessed,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pass,Keven Schlotterbeck,3949489,Augsburg
Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Arne Maier-Arne Maier,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pass,Dimitris Giannoulis,3949489,Augsburg
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Phillip Tietz-Phillip Tietz-Arne Engels-Arne Engels-Arne Engels-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg
Pass,Jeffrey Gouweleeuw,3949489,Augsburg
Ball Receipt-Pass-Ball Receipt-Carry,Nediljko Labrović-Nediljko Labrović-Mads Pedersen-Mads Pedersen,3949489,Augsburg
Pass-Ball Receipt-Carry-Miscontrol,Mads Pedersen-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt,3949489,Augsburg
Pass-Ball Receipt-Pass,Jeffrey Gouweleeuw-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg
