words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Dribble-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Shot,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Block,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Injury Stoppage-Player Off-Referee Ball-Drop,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Goal Keeper-Player On-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Pass-Ball Receipt-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Recovery-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Recovery-Carry,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pass,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Injury Stoppage,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Referee Ball-Drop,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
Pressure,3949662,Bayern Munich,Won,4,3,Second half,1.4949193263879375,0.7580065627812027
