words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass,Jamal Musiala-Manuel Neuer-Manuel Neuer-Manuel Neuer,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry,Jamal Musiala-Joshua Kimmich-Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pass,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Dribble-Carry,Michael Olise-Michael Olise-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Foul Won-Pass-Ball Receipt-Carry-Dribble,Michael Olise-Michael Olise-Sacha Boey-Sacha Boey-Sacha Boey,3949490,Bayern Munich,Won,3,2,First half
Pass,Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry,Alphonso Davies-Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Manuel Neuer-Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Jamal Musiala-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Alphonso Davies-Min Jae Kim-Min Jae Kim-Min Jae Kim-Sacha Boey-Sacha Boey-Sacha Boey-Serge Gnabry-Serge Gnabry-Serge Gnabry-Joshua Kimmich-Joshua Kimmich-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sacha Boey-Manuel Neuer-Manuel Neuer-Manuel Neuer-Min Jae Kim-Min Jae Kim-Min Jae Kim-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Jamal Musiala-Jamal Musiala-Jamal Musiala-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Dayotchanculle Upamecano-Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Dayotchanculle Upamecano-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Jamal Musiala-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Pass,Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Dribble,Serge Gnabry-Serge Gnabry-Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry-Dribble-Carry,Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pass,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pass,Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Pass,Dayotchanculle Upamecano-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt,Joshua Kimmich-Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Duel,Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Pass,Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Dribble-Carry,Alphonso Davies-Alphonso Davies-Alphonso Davies-Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alphonso Davies-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Miscontrol,Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Pressure,Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pressure,Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
Pressure,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Foul Committed,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pressure,Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Block-Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Min Jae Kim-Manuel Neuer-Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Jamal Musiala-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Foul Won-Pass-Ball Receipt-Carry,Jamal Musiala-Joshua Kimmich-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Michael Olise-Sacha Boey-Sacha Boey-Sacha Boey-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass,Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Min Jae Kim-Manuel Neuer-Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
Clearance,Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Min Jae Kim-Min Jae Kim-Min Jae Kim-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Michael Olise-Michael Olise,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry-Pass,Joshua Kimmich-Joshua Kimmich-Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pressure,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Foul Committed,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt,Harry Kane,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry,Min Jae Kim-Joshua Kimmich-Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pass,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Pass-Duel,Manuel Neuer-Manuel Neuer-Manuel Neuer-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Manuel Neuer-Manuel Neuer-Manuel Neuer-Alphonso Davies-Alphonso Davies-Alphonso Davies-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Manuel Neuer-Manuel Neuer,3949490,Bayern Munich,Won,3,2,First half
Pass,Manuel Neuer,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,Min Jae Kim-Min Jae Kim-Min Jae Kim-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Thomas Müller,3949490,Bayern Munich,Won,3,2,First half
Block,Thomas Müller,3949490,Bayern Munich,Won,3,2,First half
Pressure,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Block,Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pressure,Min Jae Kim,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Min Jae Kim-Manuel Neuer-Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Pressure,Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Foul Committed,Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Clearance,Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,Harry Kane-Min Jae Kim-Min Jae Kim-Min Jae Kim-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Michael Olise-Michael Olise-Michael Olise-Harry Kane,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Shot,Jamal Musiala-Jamal Musiala-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Harry Kane-Harry Kane,3949490,Bayern Munich,Won,3,2,First half
Pressure,Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Pass-Pressure,Aleksandar Pavlović-Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Pressure,Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
Goal Keeper-Carry-Pass-Ball Receipt-Carry,Manuel Neuer-Manuel Neuer-Manuel Neuer-Min Jae Kim-Min Jae Kim,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Min Jae Kim-Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Jamal Musiala-Jamal Musiala-Jamal Musiala-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Jamal Musiala-Jamal Musiala-Jamal Musiala,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Carry,Serge Gnabry-Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Serge Gnabry-Jamal Musiala-Jamal Musiala-Jamal Musiala-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Min Jae Kim-Min Jae Kim,3949490,Bayern Munich,Won,3,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Min Jae Kim-Michael Olise-Michael Olise-Michael Olise-Serge Gnabry-Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Dribble-Carry,Serge Gnabry-Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Shot,Serge Gnabry,3949490,Bayern Munich,Won,3,2,First half
Substitution-Tactical Shift-Pass,Sacha Boey-Unknown-Joshua Kimmich,3949490,Bayern Munich,Won,3,2,First half
Pass,Harry Kane,3949490,Bayern Munich,Won,3,2,First half
Own Goal For,Jakub Kamiński,3949490,Bayern Munich,Won,3,2,First half
Ball Recovery-Pass-Ball Receipt,Manuel Neuer-Manuel Neuer-Dayotchanculle Upamecano,3949490,Bayern Munich,Won,3,2,First half
Ball Receipt-Carry-Dispossessed,Alphonso Davies-Alphonso Davies-Alphonso Davies,3949490,Bayern Munich,Won,3,2,First half
