words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Committed,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Mads Pedersen-Mads Pedersen-Mads Pedersen-Arne Engels-Arne Engels-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Mads Pedersen-Mads Pedersen-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pass,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Interception-Carry,Mads Pedersen-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pressure,Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Pressure,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry,Maximilian Bauer-Maximilian Bauer,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Carry-Foul Committed,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Arne Engels-Arne Engels-Arne Engels-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Arne Engels-Arne Engels-Arne Engels-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Arne Engels-Arne Engels-Arne Engels-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Arne Engels-Arne Engels-Arne Engels-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Maximilian Bauer-Maximilian Bauer-Maximilian Bauer-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Maximilian Bauer-Maximilian Bauer-Maximilian Bauer,3949489,Augsburg,Drawn,2,2,First half
Dribbled Past-Pressure,Dimitris Giannoulis-Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pressure,Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass,Mads Pedersen-Fredrik Jensen-Fredrik Jensen-Fredrik Jensen,3949489,Augsburg,Drawn,2,2,First half
Pressure,Fredrik Jensen,3949489,Augsburg,Drawn,2,2,First half
