words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Carry-Miscontrol,3946400,Barcelona,Won,2,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946400,Barcelona,Won,2,1,First half
Duel,3946400,Barcelona,Won,2,1,First half
Foul Committed,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Duel,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Foul Committed,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Block-Duel,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Foul Won-Injury Stoppage-Player Off-Pass,3946400,Barcelona,Won,2,1,First half
Dispossessed,3946400,Barcelona,Won,2,1,First half
Block-Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Dribbled Past-Foul Committed,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
50/50,3946400,Barcelona,Won,2,1,First half
Dispossessed,3946400,Barcelona,Won,2,1,First half
Dribbled Past-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Dribble,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Shot,3946400,Barcelona,Won,2,1,First half
Dribble-Carry,3946400,Barcelona,Won,2,1,First half
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Substitution-Substitution-Tactical Shift,3946400,Barcelona,Won,2,1,First half
Foul Won-Pass-Ball Receipt-Miscontrol,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,3946400,Barcelona,Won,2,1,First half
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Block,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946400,Barcelona,Won,2,1,First half
Dribble-Carry,3946400,Barcelona,Won,2,1,First half
Duel-Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass,3946400,Barcelona,Won,2,1,First half
Duel-Carry,3946400,Barcelona,Won,2,1,First half
Clearance-Pressure,3946400,Barcelona,Won,2,1,First half
Pressure-Foul Committed,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure-Foul Committed,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Block-Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Duel,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Dispossessed,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Duel,3946400,Barcelona,Won,2,1,First half
Clearance,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Block,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Interception,3946400,Barcelona,Won,2,1,First half
Block-Pass-Ball Receipt-Carry-Shot,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Duel-Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Duel,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3946400,Barcelona,Won,2,1,First half
Foul Won-Dribble,3946400,Barcelona,Won,2,1,First half
Dribble-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Interception-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
